strategy,n_agents,trial,inter_collision,env_collision,deadlock,goal_rate,time_to_goal,simulated
sac,1,5,False,False,True,0.0,120.0,True
sac,1,6,False,True,False,0.0,120.0,True
sac,1,7,False,False,True,0.0,120.0,True
sac,1,8,False,False,True,1.0,53.08718425274687,True
sac,1,9,False,False,False,1.0,45.504235012628044,True
sac,1,10,False,True,False,0.0,120.0,True
sac,1,11,False,True,False,1.0,55.33164333637456,True
sac,1,12,False,True,False,0.0,120.0,True
sac,1,13,False,True,False,0.0,120.0,True
sac,1,14,False,True,True,1.0,43.96729923831753,True
sac,1,15,False,True,True,0.0,120.0,True
sac,1,16,False,False,True,0.0,120.0,True
sac,1,17,False,True,True,0.0,120.0,True
sac,1,18,False,False,False,0.0,120.0,True
sac,1,19,False,True,False,1.0,61.2935717024226,True
sac,2,0,True,True,True,0.0,120.0,True
sac,2,1,True,False,True,0.5,52.33391925529988,True
sac,2,2,True,True,True,1.0,45.76337528638223,True
sac,2,3,True,False,True,0.0,120.0,True
sac,2,4,True,False,True,0.0,120.0,True
sac,2,5,True,False,True,0.0,120.0,True
sac,2,6,True,False,True,0.0,120.0,True
sac,2,7,True,True,True,0.0,120.0,True
sac,2,8,True,False,True,0.0,120.0,True
sac,2,9,True,False,False,0.0,120.0,True
sac,2,10,True,False,True,0.5,48.00049694394935,True
sac,2,11,True,False,True,0.0,120.0,True
sac,2,12,True,True,True,0.0,120.0,True
sac,2,13,True,True,True,0.0,120.0,True
sac,2,14,False,True,True,0.0,120.0,True
sac,2,15,True,False,True,0.0,120.0,True
sac,2,16,True,False,True,0.0,120.0,True
sac,2,17,True,True,True,0.0,120.0,True
sac,2,18,False,True,True,0.0,120.0,True
sac,2,19,True,True,True,0.0,120.0,True
sac,3,0,True,False,True,0.0,120.0,True
sac,3,1,True,True,True,0.0,120.0,True
sac,3,2,True,False,True,0.0,120.0,True
sac,3,3,True,False,True,0.0,120.0,True
sac,3,4,True,True,True,0.0,120.0,True
sac,3,5,True,False,True,0.0,120.0,True
sac,3,6,True,True,True,0.0,120.0,True
sac,3,7,True,False,True,0.0,120.0,True
sac,3,8,True,True,True,0.0,120.0,True
sac,3,9,True,False,True,0.0,120.0,True
sac,3,10,True,True,True,0.0,120.0,True
sac,3,11,True,False,True,0.0,120.0,True
sac,3,12,True,False,True,0.0,120.0,True
sac,3,13,True,False,True,0.0,120.0,True
sac,3,14,True,True,True,0.0,120.0,True
sac,3,15,True,True,True,0.0,120.0,True
sac,3,16,True,True,True,0.0,120.0,True
sac,3,17,True,False,True,0.0,120.0,True
sac,3,18,True,False,True,0.0,120.0,True
sac,3,19,True,False,True,0.0,120.0,True
cbs,1,0,False,False,True,1.0,53.28457544166508,True
cbs,1,1,False,False,True,1.0,48.168288287195665,True
cbs,1,2,False,True,True,1.0,59.53239283496632,True
cbs,1,3,False,False,False,1.0,54.91540744448213,True
cbs,1,4,False,False,False,1.0,59.80024324692263,True
cbs,1,5,False,False,False,1.0,62.89613200144512,True
cbs,1,6,False,False,False,1.0,65.2282520670423,True
cbs,1,7,False,False,False,1.0,47.16324887310632,True
cbs,1,8,False,True,False,1.0,53.68630306350084,True
cbs,1,9,False,False,True,1.0,60.64905797361129,True
cbs,1,10,False,False,False,1.0,63.31407565283355,True
cbs,1,11,False,False,False,1.0,61.51586758445371,True
cbs,1,12,False,False,False,1.0,48.74808564890596,True
cbs,1,13,False,False,False,1.0,69.34128955604301,True
cbs,1,14,False,False,False,1.0,60.98513527008095,True
cbs,1,15,False,True,False,1.0,59.44759800002894,True
cbs,1,16,False,False,True,1.0,42.51472209200072,True
cbs,1,17,False,False,False,1.0,66.77271633510577,True
cbs,1,18,False,False,False,0.0,120.0,True
cbs,1,19,False,False,True,1.0,47.34570040676612,True
cbs,2,0,False,True,True,0.0,120.0,True
cbs,2,1,False,False,True,0.0,120.0,True
cbs,2,2,False,False,True,0.5,61.9094866467294,True
cbs,2,3,False,False,True,1.0,56.37731220343242,True
cbs,2,4,False,False,True,1.0,49.09304742042346,True
cbs,2,5,False,False,True,1.0,68.78085790019668,True
cbs,2,6,False,False,False,1.0,64.01223433325251,True
cbs,2,7,False,False,False,1.0,60.6743994042818,True
cbs,2,8,False,False,False,1.0,60.18541728227418,True
cbs,2,9,False,False,False,1.0,57.20353741392239,True
cbs,2,10,False,False,False,1.0,63.51242815996487,True
cbs,2,11,False,False,True,1.0,53.46544341086,True
cbs,2,12,False,False,True,0.5,61.8164209462289,True
cbs,2,13,False,True,True,1.0,64.37153712101578,True
cbs,2,14,False,True,False,0.5,56.329756579399664,True
cbs,2,15,False,False,True,1.0,74.46170672841265,True
cbs,2,16,False,False,False,1.0,73.87583718690757,True
cbs,2,17,False,False,True,1.0,83.85197575557275,True
cbs,2,18,False,False,True,1.0,59.06717224040962,True
cbs,2,19,False,False,True,1.0,63.55003140158265,True
cbs,3,0,False,False,False,0.6666666666666666,54.6412314710621,True
cbs,3,1,False,False,True,1.0,67.79112129298923,True
cbs,3,2,False,False,True,1.0,58.80477383540365,True
cbs,3,3,False,False,True,1.0,70.15204999253068,True
cbs,3,4,False,False,True,0.6666666666666666,54.95637622681663,True
cbs,3,5,False,False,True,1.0,67.47605920497757,True
cbs,3,6,False,True,False,0.3333333333333333,60.422265693577096,True
cbs,3,7,False,True,True,1.0,76.91463165052512,True
cbs,3,8,False,False,True,0.6666666666666666,62.36874294042792,True
cbs,3,9,False,False,True,1.0,66.01777568424288,True
cbs,3,10,False,False,True,0.6666666666666666,71.55212876964323,True
cbs,3,11,False,False,True,0.6666666666666666,67.16790257057283,True
cbs,3,12,False,False,True,1.0,66.62197985540331,True
cbs,3,13,False,False,True,0.6666666666666666,62.9377090653055,True
cbs,3,14,False,False,True,1.0,75.11183601532481,True
cbs,3,15,False,False,True,1.0,71.90589384988006,True
cbs,3,16,False,False,False,1.0,62.130963205736016,True
cbs,3,17,False,False,True,1.0,81.37522416142835,True
cbs,3,18,False,False,True,1.0,68.72999301569784,True
cbs,3,19,False,False,True,1.0,79.7317579832233,True
